Name,Simulation 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Catch,18.89169095,29.23282089,60.06464905,107.1397349,68.58756946,84.13343172,124.1381998,100.3719735,69.24376928,106.642957,107.9879045,173.4201094,134.216634,119.6819724,294.5057071,153.5447563,124.9822901,142.9917121,130.6377665,133.3609016,177.7157372,179.6096448,183.9447437,259.9993763,182.2476723,111.4137638,257.2711113,175.4558408,132.123342,226.6555555,112.2809136,159.4561056,168.5977659,75.24012902,62.56028508,129.7889528,142.2436917,88.41619847,254.1827359,49.03840544,177.8119865,111.0341758,126.4991598,98.29789431,101.8541303,77.87526638,121.2566517,87.65801793,62.53894062,46.22873686
Abundance index,2.183131942,1.362392632,1.775803476,1.819023574,2.811641036,1.68651942,1.415604448,1.461299252,1.432292749,1.754827275,1.520016231,1.390243413,1.311836553,1.40294234,1.53696227,1.388326345,1.577620145,1.308430493,1.183414462,1.286498761,0.913903619,1.322878197,0.88860033,1.105166001,0.964411919,0.985305329,0.843078689,0.832935624,0.698331635,0.670835076,0.595034868,0.683757979,0.785037713,0.613632335,0.515325207,0.669959268,0.520417779,0.529266935,0.378502335,0.456766852,0.535896377,0.390500789,0.311781487,0.403405808,0.382599768,0.331315386,0.33700808,0.261977757,0.275637372,0.187902669
Duration t,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average catch over time t,128.4614696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depletion over time t,0.134425114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,0.153319201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMSY/M,1.052378924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY/B0,0.366688365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSY,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMSY,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age at 50% maturity,1.635560183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at first capture,5.651939497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length at full selection,47.62537421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAA 1,0,3,4,4,5,4,5,7,12,5,4,4,8,3,3,4,4,1,1,7,1,2,3,4,3,0,0,3,1,1,2,1,0,1,3,0,1,0,0,0,1,1,0,0,1,,,,,
CAA 2,0,11,8,6,8,7,6,6,4,2,4,7,0,5,6,4,2,1,6,0,3,3,2,0,1,2,1,0,2,0,3,1,1,2,0,0,0,1,0,0,1,0,0,0,1,,,,,
CAA 3,0,3,14,10,5,5,2,7,6,5,7,3,5,3,4,3,1,4,2,3,2,1,0,1,3,2,2,1,0,0,2,2,0,2,1,1,0,2,0,1,0,0,0,0,2,,,,,
