Name,Simulation 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
CAA 4,0,5,3,12,8,3,8,6,6,11,7,5,5,6,1,3,1,1,0,5,1,1,0,2,1,0,0,1,2,4,0,3,2,1,0,0,1,1,0,0,0,0,1,0,0,,,,,
CAA 5,0,3,8,6,11,6,7,6,4,4,6,6,6,6,4,1,2,3,2,3,3,0,3,3,0,2,0,3,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,2,,,,,
CAA 6,0,1,12,11,8,7,4,7,7,5,11,1,2,1,1,5,3,2,4,0,2,1,0,4,2,2,2,2,3,0,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,,,,,
CAA 7,1,6,3,13,11,4,7,5,4,6,7,7,5,4,4,4,1,3,2,2,1,0,2,0,0,1,1,0,1,1,1,1,1,1,0,0,0,2,0,0,1,1,2,1,0,,,,,
CAA 8,0,2,14,7,5,7,7,10,11,3,10,3,3,1,2,4,3,1,2,2,0,1,2,1,2,2,1,2,1,1,0,0,0,0,1,2,1,0,1,1,0,1,0,0,0,,,,,
CAA 9,0,1,5,7,2,13,11,6,7,5,7,5,9,4,4,2,4,2,1,3,3,2,2,0,0,2,2,1,1,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,,,,,
CAA 10,0,3,1,5,10,1,10,5,7,8,5,5,8,7,6,4,10,2,1,2,4,0,1,2,2,0,0,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,
CAA 11,0,5,5,2,2,7,3,10,11,3,7,8,7,4,2,3,3,4,3,0,3,2,2,1,2,2,1,1,4,0,1,4,2,1,1,0,0,1,0,0,0,0,0,0,0,,,,,
CAA 12,1,7,7,8,5,2,5,2,12,5,3,5,2,5,1,6,3,4,3,2,2,3,3,1,4,2,1,0,2,0,1,0,4,3,0,0,1,1,0,0,0,0,0,1,0,,,,,
CAA 13,1,6,11,6,7,7,1,5,4,6,7,5,5,4,6,2,3,1,6,2,1,3,3,0,1,0,2,1,1,0,0,3,0,2,2,0,0,0,0,2,0,0,0,1,0,,,,,
CAA 14,1,14,7,2,7,5,2,5,7,0,10,7,7,4,2,1,5,0,4,3,0,3,6,0,3,1,0,0,0,1,1,0,1,0,1,0,1,3,1,1,0,0,0,0,1,,,,,
CAA 15,0,6,20,4,10,4,5,4,2,3,3,5,2,4,7,6,2,2,0,2,3,2,2,1,5,1,0,1,0,2,2,0,0,2,0,1,0,0,0,2,0,1,0,0,1,,,,,
CAA 16,0,2,11,12,9,3,4,1,2,4,10,2,2,5,4,3,7,1,2,2,2,1,2,1,2,2,1,4,0,1,1,4,1,1,2,1,0,0,1,1,2,0,0,1,0,,,,,
CAA 17,2,9,2,13,18,5,9,6,0,5,3,3,2,5,3,3,1,2,1,0,0,1,3,2,1,2,2,0,1,0,2,3,1,1,0,0,3,1,0,0,0,0,1,0,1,,,,,
CAA 18,0,11,9,6,15,15,2,1,3,3,2,5,1,3,8,3,5,0,3,1,1,5,3,1,1,0,0,1,1,0,0,0,0,1,0,2,0,2,1,0,0,0,2,0,0,,,,,
CAA 19,1,2,24,11,3,11,17,5,5,4,1,1,1,0,1,2,3,1,5,4,1,1,2,1,0,1,1,2,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,,,,,
CAA 20,0,1,5,22,11,6,7,15,5,4,2,5,1,1,3,1,6,1,2,1,2,4,1,1,0,4,0,0,1,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,,,,,
CAA 21,1,9,8,8,14,10,3,5,14,5,3,5,0,0,2,1,2,1,2,0,2,2,0,3,3,2,0,0,0,0,3,0,1,0,3,1,1,1,0,0,0,1,1,0,0,,,,,
CAA 22,1,3,12,12,8,19,6,5,6,8,2,0,3,0,2,1,6,2,2,3,2,1,2,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,0,1,,,,,
CAA 23,0,9,12,8,3,4,17,7,3,9,5,2,2,4,2,1,3,6,2,1,2,3,2,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,1,0,,,,,
CAA 24,1,8,15,13,6,5,3,13,5,1,3,4,3,2,1,2,2,1,4,0,1,1,2,1,0,2,2,1,1,1,1,3,1,0,3,2,2,0,0,0,0,1,0,0,0,,,,,
CAA 25,0,7,14,12,6,13,8,3,5,2,3,9,8,2,4,1,0,1,0,2,0,3,1,1,1,1,0,0,2,3,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,,,,
CAA 26,1,6,12,9,18,8,12,4,5,10,4,2,4,2,1,2,0,1,2,0,0,1,0,1,1,0,0,0,2,0,0,2,1,1,0,1,0,0,1,0,0,0,1,2,0,,,,,
CAA 27,1,4,10,6,5,9,7,12,5,9,10,8,2,2,3,0,2,5,3,0,0,1,0,2,1,0,0,1,0,2,0,3,0,0,0,0,0,0,0,1,1,0,2,0,0,,,,,
CAA 28,0,8,7,9,8,5,13,10,6,9,4,4,4,1,1,7,3,0,1,1,1,0,3,0,1,1,1,1,1,1,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,
CAA 29,0,5,10,6,6,9,9,12,9,6,6,1,6,5,1,3,4,0,2,3,1,1,0,1,1,2,0,0,2,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,,,,
CAA 30,1,6,15,8,3,9,10,8,12,6,6,4,2,5,7,1,7,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,
CAA 31,1,11,15,10,13,4,6,9,3,7,5,5,5,0,1,3,2,1,4,1,0,0,1,0,0,2,1,2,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,,
CAA 32,1,10,25,15,9,8,4,5,5,2,6,1,3,1,2,4,3,0,2,1,2,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,,,,,
CAA 33,1,8,16,27,11,10,5,2,3,3,5,5,3,1,1,0,2,4,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,,,,,
CAA 34,5,9,8,19,11,12,6,8,1,4,4,2,6,1,0,2,0,1,3,0,0,1,1,3,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,,,,,
CAA 35,3,16,13,8,14,10,8,6,4,2,3,2,2,4,4,3,1,1,4,1,2,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CAA 36,0,11,24,16,7,5,10,9,4,2,1,3,3,3,3,2,0,1,1,2,1,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,
CAA 37,1,2,24,16,9,11,8,15,8,0,1,0,3,3,3,3,0,2,0,1,1,1,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CAA 38,2,10,5,18,23,11,3,7,6,5,3,6,0,0,2,0,2,2,0,2,0,0,1,0,0,3,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,,,,,
CAA 39,1,7,13,4,13,18,12,8,5,5,7,5,4,1,0,2,1,3,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,,,,
CAA 40,1,15,15,13,10,14,9,10,1,4,6,1,0,2,2,2,1,0,5,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,
CAA 41,0,13,23,11,14,3,13,7,5,2,5,2,0,3,3,1,0,1,1,2,0,0,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,
CAA 42,0,17,18,21,10,11,1,4,9,4,0,4,8,4,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CAA 43,2,17,17,19,11,7,9,3,2,5,5,0,2,3,5,3,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,
CAA 44,0,7,23,18,14,12,4,7,0,7,7,1,2,4,2,0,0,0,0,0,1,0,2,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CAA 45,0,15,15,18,12,10,13,2,3,5,5,5,3,0,2,3,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CAA 46,0,18,21,12,16,11,8,11,1,4,1,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CAA 47,5,2,23,20,11,12,8,5,6,5,4,0,2,3,3,1,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CAA 48,1,10,15,17,18,10,16,6,2,3,4,3,0,3,2,1,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CAA 49,4,5,28,6,18,14,3,5,4,8,8,1,2,0,5,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
CAA 50,0,12,20,21,4,12,13,2,9,5,4,3,0,1,1,3,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Current stock depletion,0.134425114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current stock abundance,836.5144243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Bertalanffy K parameter,0.228943567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Bertalanffy Linf parameter,85.97738448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Von Bertalanffy t0 parameter,-0.027713769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length-weight parameter a,1.00E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length-weight parameter b,3.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steepness,0.52849399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum age,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Catch,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Depletion over time t,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Average catch over time t,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Abundance index,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV M,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV FMSY/M,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV BMSY/B0,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV current stock depletion,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV current stock abundance,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV von B. K parameter,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV von B. Linf parameter,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV von B. t0 parameter,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Age at 50% maturity,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length at first capture,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length at full selection,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length-weight parameter a,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Length-weight parameter b,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Steepness,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigma length composition,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,unitless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference OFL,86.36207826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference OFL type,Simulated OFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL_bins,0,5.543610685,11.08722137,16.63083206,22.17444274,27.71805343,33.26166411,38.8052748,44.34888548,49.89249617,55.43610685,60.97971754,66.52332822,72.06693891,77.61054959,83.15416028,88.69777096,94.24138165,99.78499233,105.328603,526.6430151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 1,0,0,0,0,0,3,1,2,2,4,3,8,17,34,24,14,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 2,0,0,0,0,5,3,6,4,4,4,7,9,12,20,24,16,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 3,0,0,0,0,0,1,2,9,9,5,6,4,15,17,30,16,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 4,0,0,0,0,1,3,1,4,5,4,10,7,12,26,29,12,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 5,0,0,0,0,2,0,3,4,2,8,9,10,10,26,26,12,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 6,0,0,0,0,0,1,2,8,5,5,12,5,14,17,27,18,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 7,0,1,0,0,0,4,2,2,5,10,11,6,12,21,21,15,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 8,0,0,0,0,0,0,6,8,6,4,8,9,16,19,29,10,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 9,0,0,0,0,1,0,0,2,3,5,4,12,12,17,32,21,7,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 10,0,0,0,0,1,0,1,1,1,5,6,6,12,24,26,22,11,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 11,0,0,0,0,0,4,1,4,2,0,5,4,12,18,33,26,7,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 12,0,0,0,1,1,1,6,3,3,6,5,5,5,20,25,29,5,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 13,0,0,1,0,0,5,3,3,4,6,7,5,7,15,28,17,14,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 14,0,0,0,1,1,6,6,5,3,2,6,7,5,13,27,27,5,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 15,0,0,0,0,0,3,4,5,13,4,9,5,8,11,26,17,10,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 16,0,0,0,0,0,1,3,5,6,12,5,6,7,8,24,20,13,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 17,0,1,0,1,0,5,5,0,5,12,7,11,12,10,10,19,16,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 18,0,0,0,0,2,5,6,1,5,12,9,11,8,8,14,23,11,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 19,0,1,0,0,0,0,3,10,15,6,7,7,17,12,15,11,9,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 20,0,0,0,0,0,1,0,3,4,13,14,5,12,16,18,18,10,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 21,0,0,0,0,2,3,4,4,4,6,9,13,9,19,14,17,8,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 22,0,0,0,0,1,0,4,9,5,7,7,11,14,13,11,21,12,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 23,0,0,0,0,0,4,5,7,6,6,2,3,15,11,18,17,19,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 24,0,0,0,0,3,3,3,4,14,4,7,5,7,13,12,20,16,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 25,0,0,0,0,0,3,5,8,8,4,6,9,9,12,16,16,14,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 26,0,1,0,0,0,3,4,5,7,9,15,8,10,11,17,11,13,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 27,0,0,0,1,0,3,2,6,2,5,4,8,5,16,25,24,10,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 28,0,0,0,0,1,4,2,3,4,10,4,6,15,17,18,17,10,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 29,0,0,0,0,0,3,2,7,4,4,7,3,13,13,18,22,12,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 30,0,0,0,0,1,5,2,7,9,4,6,8,7,19,19,13,12,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 31,0,0,0,1,2,1,4,11,5,7,9,6,8,12,13,16,15,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 32,0,0,0,1,1,3,5,9,14,15,5,9,4,12,11,11,11,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 33,0,0,0,0,1,4,3,8,10,15,12,10,10,4,9,18,8,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 34,0,0,0,3,2,4,6,2,6,10,9,15,7,11,12,15,10,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 35,0,1,1,1,2,7,6,6,8,4,8,13,13,9,9,12,10,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 36,0,0,0,0,0,5,7,7,13,12,8,7,10,8,10,11,12,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 37,0,0,1,0,0,1,1,12,8,15,10,7,13,16,10,7,11,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 38,0,0,0,1,2,3,6,2,4,8,16,14,12,5,11,11,15,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 39,0,0,0,0,2,2,4,3,5,6,4,13,15,15,14,13,12,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 40,0,1,0,0,0,7,8,7,9,7,8,10,12,11,9,11,10,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 41,0,0,0,0,2,3,10,11,12,10,5,8,10,7,18,8,2,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 42,0,0,0,0,2,1,11,8,12,15,10,8,5,8,8,9,11,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 43,0,0,0,0,5,5,6,6,6,15,16,4,10,11,8,8,10,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 44,0,0,0,0,1,3,4,10,8,15,6,14,14,7,4,14,6,5,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 45,0,0,0,0,2,7,5,7,7,10,13,8,12,9,7,9,11,7,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 46,0,0,0,0,2,5,9,8,13,9,8,10,11,10,10,10,3,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 47,0,0,1,2,2,2,1,11,9,16,8,10,11,8,10,7,12,5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 48,0,0,1,0,0,8,2,5,6,11,12,10,13,12,12,10,6,6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 49,0,0,1,2,1,4,4,8,11,12,6,14,9,10,6,8,7,7,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAL 50,0,0,0,0,2,4,6,9,11,9,11,5,9,10,13,12,11,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPrec,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
